,seed,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
729,4,10,1277.7770507335663,0.0005,3,10,0.5,100,local,-15.606428815472867,0.5450708039252021,0.5131908740078184
730,4,10,1277.7770507335663,0.0005,3,10,0.5,100,fl,-15.48246779358487,0.45064619343500434,0.4122719966022399
736,6,10,167.39579272270203,0.0005,3,10,0.0,50,central,-15.336006028202036,0.21841783769651343,
737,6,10,167.39579272270203,0.0005,3,10,0.0,50,local,-16.16056522147675,0.7572196813434813,0.727240098109595
738,6,10,167.39579272270203,0.0005,3,10,0.0,50,fl,-16.165012388422056,0.7573226809956662,0.7266178238630963
744,3,10,268.6605441570282,0.0005,3,10,0.0,10,central,-15.525189560935626,0.5063304833352388,
745,3,10,268.6605441570282,0.0005,3,10,0.0,10,local,-35.65940129651993,1.7549925822857522,1.6862847582521892
746,3,10,268.6605441570282,0.0005,3,10,0.0,10,fl,-35.72593655900633,1.751877237761842,1.6841773949852068
764,3,10,1349.5318562984467,0.0005,3,10,1.0,25,central,-15.436279050078753,0.36873526745717095,
765,3,10,1349.5318562984467,0.0005,3,10,1.0,25,local,-17.89480682987574,1.0494931920365567,0.9868959198618372
766,3,10,1349.5318562984467,0.0005,3,10,1.0,25,fl,-16.078881037271465,0.7432307964951097,0.649807141253968
776,4,10,846.0062861442566,0.0005,3,10,0.5,50,central,-15.310362729433674,0.19777046909549742,
777,4,10,846.0062861442566,0.0005,3,10,0.5,50,local,-15.958876642756602,0.7222226923436719,0.6948717216650795
778,4,10,846.0062861442566,0.0005,3,10,0.5,50,fl,-15.657344422729102,0.5813249821223486,0.5451064963534217
780,6,10,265.9245216846466,0.0005,3,10,0.0,100,central,-15.309777027291602,0.16621184720071133,
781,6,10,265.9245216846466,0.0005,3,10,0.0,100,local,-15.67091779113412,0.5500853821262752,0.5246995112698114
782,6,10,265.9245216846466,0.0005,3,10,0.0,100,fl,-15.672962167655715,0.5500221252341915,0.5249216778124653
804,1,10,1474.7651567459106,0.0005,3,10,0.5,10,central,-15.530279730549811,0.5060418705914244,
805,1,10,1474.7651567459106,0.0005,3,10,0.5,10,local,-47.06702567237771,1.7343177789263264,1.6569827433688444
806,1,10,1474.7651567459106,0.0005,3,10,0.5,10,fl,-18.869833601168203,1.3864421230710737,1.2882514347138638
808,7,10,833.5508489608765,0.0005,3,10,0.5,100,central,-15.275112022959835,0.16013608464038676,
809,7,10,833.5508489608765,0.0005,3,10,0.5,100,local,-15.57025974982281,0.4778779766879081,0.45119127667953335
810,7,10,833.5508489608765,0.0005,3,10,0.5,100,fl,-15.450528898694893,0.3842587298090551,0.3510839072401145
816,5,10,299.46667218208313,0.0005,3,10,0.0,50,central,-15.347824538140497,0.20471702346505652,
817,5,10,299.46667218208313,0.0005,3,10,0.0,50,local,-16.065598017815837,0.7636683064709496,0.7386321934927318
818,5,10,299.46667218208313,0.0005,3,10,0.0,50,fl,-16.067450402693105,0.7629890089273756,0.7379542398908683
824,0,10,252.4092092514038,0.0005,3,10,0.0,10,central,-15.523039115126403,0.4687817510218639,
825,0,10,252.4092092514038,0.0005,3,10,0.0,10,local,-59.388074588925505,1.7589092403425735,1.7000897305656206
826,0,10,252.4092092514038,0.0005,3,10,0.0,10,fl,-59.46624401310495,1.7576613183523189,1.6979713221892958
836,0,10,1224.0897691249847,0.0005,3,10,1.0,25,central,-15.394836644969658,0.36034779961734503,
837,0,10,1224.0897691249847,0.0005,3,10,1.0,25,local,-17.460208512998985,1.0407199316883928,0.9790375921500075
838,0,10,1224.0897691249847,0.0005,3,10,1.0,25,fl,-15.97087914170823,0.7466872396529816,0.6544065643845907
840,8,10,1475.5183372497559,0.0005,3,10,1.0,50,central,-15.35740469070779,0.259465632263154,
841,8,10,1475.5183372497559,0.0005,3,10,1.0,50,local,-16.24035344082947,0.795444962846642,0.7563303540776941
842,8,10,1475.5183372497559,0.0005,3,10,1.0,50,fl,-15.673198618073878,0.5543166129411258,0.4992620750835274
868,0,10,1239.7369573116302,0.0005,3,10,0.5,25,central,-15.394836644969658,0.36034779961734503,
869,0,10,1239.7369573116302,0.0005,3,10,0.5,25,local,-17.460208512998985,1.0407199316883928,0.9790375921500075
870,0,10,1239.7369573116302,0.0005,3,10,0.5,25,fl,-16.30902924891163,0.8583266993765093,0.7802572695377583
