,seed,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
1153,8,10,1485.15988779068,0.0005,6,10,1.0,100,local,-881.8007130775843,15.611264766001298,15.614054861385242
1154,8,10,1485.15988779068,0.0005,6,10,1.0,100,fl,-22.632287834167663,13.544163385567874,13.537445653571575
1168,4,10,1333.398066520691,0.0005,6,10,0.5,100,central,-9.149526079817267,0.11708744317136129,
1169,4,10,1333.398066520691,0.0005,6,10,0.5,100,local,-706.7307419461047,14.175612994509482,14.177032157754647
1170,4,10,1333.398066520691,0.0005,6,10,0.5,100,fl,-21.206373393871974,10.969623902777327,10.966095647230322
1176,6,10,280.54029417037964,0.0005,6,10,0.0,50,central,-9.160830914248008,0.1600024882434596,
1177,6,10,280.54029417037964,0.0005,6,10,0.0,50,local,-754.677487150886,13.783561249509606,13.770041636831456
1178,6,10,280.54029417037964,0.0005,6,10,0.0,50,fl,-778.1564225187863,13.637729679058797,13.632256270258816
1196,3,10,270.96649074554443,0.0005,6,10,0.0,10,central,-11.49581204106437,0.4685795952818243,
1197,3,10,270.96649074554443,0.0005,6,10,0.0,10,local,-6142.8352603010735,15.223577574307214,15.204596905252481
1198,3,10,270.96649074554443,0.0005,6,10,0.0,10,fl,-6864.820137190412,14.852714387432647,14.809613430300839
1244,3,10,1421.9305279254913,0.0005,6,10,1.0,25,central,-9.751845417260947,0.29538968901626644,
1245,3,10,1421.9305279254913,0.0005,6,10,1.0,25,local,-1118.3262483339481,14.565733622558616,14.577339720823014
1246,3,10,1421.9305279254913,0.0005,6,10,1.0,25,fl,-24.806129121488045,14.408208703164656,14.399242386405922
1256,4,10,487.6967897415161,0.0005,6,10,0.5,50,central,-9.243769351899228,0.19737806848149456,
1257,4,10,487.6967897415161,0.0005,6,10,0.5,50,local,-878.6002583938364,14.281467319981072,14.281257715201335
1258,4,10,487.6967897415161,0.0005,6,10,0.5,50,fl,-21.75611337888074,11.059565975309432,11.049430749175011
1272,6,10,109.17003107070923,0.0005,6,10,0.0,100,central,-9.390250283987115,0.13120855320359318,
1273,6,10,109.17003107070923,0.0005,6,10,0.0,100,local,-662.6945765512967,13.811182649449218,13.799339883149784
1274,6,10,109.17003107070923,0.0005,6,10,0.0,100,fl,-660.6550484505444,13.783990530192801,13.771935349023305
1304,1,10,1497.476586818695,0.0005,6,10,0.5,10,central,-13.58671305355477,0.5168587985843812,
1305,1,10,1497.476586818695,0.0005,6,10,0.5,10,local,-2848.5442623703884,13.368214462426693,13.28118121505347
1306,1,10,1497.476586818695,0.0005,6,10,0.5,10,fl,-30.95790413900401,12.86568859592739,12.79124167126513
1316,7,10,488.1095561981201,0.0005,6,10,0.5,100,central,-9.352466304147256,0.16742489774527566,
1317,7,10,488.1095561981201,0.0005,6,10,0.5,100,local,-504.1980394752889,12.227092785237064,12.221485676664653
1318,7,10,488.1095561981201,0.0005,6,10,0.5,100,fl,-21.094497085130378,9.755713545365175,9.741697259395858
1324,5,10,280.0332989692688,0.0005,6,10,0.0,50,central,-9.28484305619207,0.19299050501440282,
1325,5,10,280.0332989692688,0.0005,6,10,0.0,50,local,-787.86163940988,13.933992377161397,13.953337933249049
1326,5,10,280.0332989692688,0.0005,6,10,0.0,50,fl,-779.3618675664425,13.776804749804082,13.79672086764981
1348,0,10,277.3388695716858,0.0005,6,10,0.0,10,central,-10.3611866877082,0.36919911418379486,
1349,0,10,277.3388695716858,0.0005,6,10,0.0,10,local,-9102.327583563687,12.901242724896814,12.911635868517584
1350,0,10,277.3388695716858,0.0005,6,10,0.0,10,fl,-5043.6089496753,12.947532989980957,12.952572368106697
1376,0,10,471.8911306858063,0.0005,6,10,1.0,25,central,-9.43904898047457,0.27737530605144484,
1377,0,10,471.8911306858063,0.0005,6,10,1.0,25,local,-857.9812468649134,12.707374005419723,12.718494597034189
1378,0,10,471.8911306858063,0.0005,6,10,1.0,25,fl,-22.446948230450783,10.98248388843454,10.980742984158232
1380,8,10,1392.601599931717,0.0005,6,10,1.0,50,central,-9.338186041542635,0.17874506851265606,
1381,8,10,1392.601599931717,0.0005,6,10,1.0,50,local,-838.6629898850852,15.06772035316682,15.06934202592108
1382,8,10,1392.601599931717,0.0005,6,10,1.0,50,fl,-23.92635917729232,13.353893728295997,13.348901476536858
1416,0,10,492.81982684135437,0.0005,6,10,0.5,25,central,-9.43904898047457,0.27737530605144484,
1417,0,10,492.81982684135437,0.0005,6,10,0.5,25,local,-857.9812468649134,12.707374005419723,12.718494597034189
1418,0,10,492.81982684135437,0.0005,6,10,0.5,25,fl,-22.68669665457191,10.935481716296769,10.929106515767689
1420,8,10,1428.0204508304596,0.0005,6,10,0.5,50,central,-9.338186041542635,0.17874506851265606,
1421,8,10,1428.0204508304596,0.0005,6,10,0.5,50,local,-838.6629898850852,15.06772035316682,15.06934202592108
1422,8,10,1428.0204508304596,0.0005,6,10,0.5,50,fl,-24.473870856954118,13.469494577766785,13.46594081037423
1448,7,10,1465.7204868793488,0.0005,6,10,1.0,100,central,-9.352466304147255,0.16742489774527514,
1449,7,10,1465.7204868793488,0.0005,6,10,1.0,100,local,-504.1980394752912,12.22709278523707,12.22148567666466
1450,7,10,1465.7204868793488,0.0005,6,10,1.0,100,fl,-20.75271497926394,9.817637949880758,9.804846938206197
1452,1,10,1333.9556503295898,0.0005,6,10,1.0,10,central,-13.58671305355477,0.5168587985843812,
1453,1,10,1333.9556503295898,0.0005,6,10,1.0,10,local,-2848.5442623703884,13.368214462426693,13.28118121505347
1454,1,10,1333.9556503295898,0.0005,6,10,1.0,10,fl,-28.13045868407793,12.74942119226698,12.670345869538167
1488,9,10,267.02796816825867,0.0005,6,10,0.0,50,central,-9.34780216448721,0.19327532286263138,
1489,9,10,267.02796816825867,0.0005,6,10,0.0,50,local,-640.0627118923865,12.940083487925913,12.935353874808722
1490,9,10,267.02796816825867,0.0005,6,10,0.0,50,fl,-678.4633589151459,12.908886269509603,12.910321607081872
1492,1,10,268.89708852767944,0.0005,6,10,0.0,25,central,-9.897907695967515,0.25523871193148145,
1493,1,10,268.89708852767944,0.0005,6,10,0.0,25,local,-867.0081946217069,12.986472121876156,12.983938485552477
1494,1,10,268.89708852767944,0.0005,6,10,0.0,25,fl,-802.5366876054062,12.987215204046871,12.97848454614639
1508,4,10,1282.7573409080505,0.0005,6,10,1.0,50,central,-9.243769351899235,0.1973780684814951,
1509,4,10,1282.7573409080505,0.0005,6,10,1.0,50,local,-878.6002583938246,14.28146731998107,14.281257715201335
1510,4,10,1282.7573409080505,0.0005,6,10,1.0,50,fl,-21.631682684894674,11.164234878177828,11.15414137647588
1552,5,10,1301.102888584137,0.0005,6,10,1.0,50,central,-9.28484305619207,0.19299050501440282,
1553,5,10,1301.102888584137,0.0005,6,10,1.0,50,local,-787.86163940988,13.933992377161397,13.953337933249049
1554,5,10,1301.102888584137,0.0005,6,10,1.0,50,fl,-22.302118575291765,11.15365064963965,11.16024984266581
1576,8,10,275.32417464256287,0.0005,6,10,0.0,50,central,-9.338186041542635,0.17874506851265606,
1577,8,10,275.32417464256287,0.0005,6,10,0.0,50,local,-838.6629898850852,15.06772035316682,15.06934202592108
1578,8,10,275.32417464256287,0.0005,6,10,0.0,50,fl,-873.0796211590603,15.381197977962279,15.38016729189555
1580,0,10,285.4544234275818,0.0005,6,10,0.0,25,central,-9.439048980474556,0.27737530605144445,
