,seed,shift_scale,D,runtime_sec,lr,K,n_clients,lambda,N,algorithm,Log-likelihood,err_true,err_central
781,9,0.2,10,1290.4673504829407,0.0005,3,10,1.0,25,local,-18.232539030669848,1.2159309289855733,1.1610304477020468
782,9,0.2,10,1290.4673504829407,0.0005,3,10,1.0,25,fl,-16.06862860974106,0.8364293212039573,0.7523237815003563
784,3,0.2,10,1228.5530202388763,0.0005,3,10,1.0,50,central,-15.516672230577857,0.3624242790854881,
785,3,0.2,10,1228.5530202388763,0.0005,3,10,1.0,50,local,-16.101516851003208,0.9547239619128094,0.8822347910790478
786,3,0.2,10,1228.5530202388763,0.0005,3,10,1.0,50,fl,-15.621157051042598,0.6819018256281435,0.5783250417829786
792,0,1.0,10,1265.154184103012,0.0005,3,10,1.0,10,central,-18.59690963546749,0.875983878100176,
793,0,1.0,10,1265.154184103012,0.0005,3,10,1.0,10,local,-64.2338366564927,3.4156235368177845,3.3031707052280774
794,0,1.0,10,1265.154184103012,0.0005,3,10,1.0,10,fl,-17.645691978868392,2.460948778505734,2.2509737252437594
808,5,1.0,10,1262.5219852924347,0.0005,3,10,1.0,100,central,-18.193546049283068,1.0830952310068416,
809,5,1.0,10,1262.5219852924347,0.0005,3,10,1.0,100,local,-15.589356985916524,3.0434754166505513,2.8499516416467876
810,5,1.0,10,1262.5219852924347,0.0005,3,10,1.0,100,fl,-15.966558744609046,2.138388718695758,1.8444165927882044
816,4,1.0,10,1321.5359694957733,0.0005,3,10,1.0,50,central,-18.4623995811637,0.8235696948039438,
817,4,1.0,10,1321.5359694957733,0.0005,3,10,1.0,50,local,-16.02039328677382,3.170062726542141,3.071673756979137
818,4,1.0,10,1321.5359694957733,0.0005,3,10,1.0,50,fl,-16.13392783129462,2.146546732445376,1.9908451260815003
828,6,2.0,10,1210.5793368816376,0.0005,3,10,1.0,50,central,-22.354588813721058,1.9217543165310034,
829,6,2.0,10,1210.5793368816376,0.0005,3,10,1.0,50,local,-16.043359378429223,6.076291691180377,5.785336018682883
830,6,2.0,10,1210.5793368816376,0.0005,3,10,1.0,50,fl,-17.755114326390878,4.260782497698257,3.8057190254513187
836,7,0.2,10,1349.9762833118439,0.0005,3,10,1.0,10,central,-15.820168641175403,0.527980722885833,
837,7,0.2,10,1349.9762833118439,0.0005,3,10,1.0,10,local,-42.83593042484655,1.7796805966974063,1.703982614183293
838,7,0.2,10,1349.9762833118439,0.0005,3,10,1.0,10,fl,-17.515078400718384,1.2142383951460578,1.090954209787559
840,7,2.0,10,1283.55113697052,0.0005,3,10,1.0,100,central,-22.64778400903456,1.256110348251443,
841,7,2.0,10,1283.55113697052,0.0005,3,10,1.0,100,local,-15.676613230024008,5.979861603494002,5.852376252622327
842,7,2.0,10,1283.55113697052,0.0005,3,10,1.0,100,fl,-17.80776713250723,4.014434797806329,3.828250599966966
936,6,0.2,10,1439.7599868774414,0.0005,3,10,1.0,10,central,-15.75305211478119,0.5969548926802323,
937,6,0.2,10,1439.7599868774414,0.0005,3,10,1.0,10,local,-38.15037764490295,1.8287888355292332,1.73836758395123
938,6,0.2,10,1439.7599868774414,0.0005,3,10,1.0,10,fl,-17.06262059683072,1.2456011160407443,1.1083672306478967
940,6,2.0,10,1250.6161971092224,0.0005,3,10,1.0,100,central,-22.350401646424853,1.757778587490911,
941,6,2.0,10,1250.6161971092224,0.0005,3,10,1.0,100,local,-15.654192385766937,5.993128908212502,5.7349635328082975
942,6,2.0,10,1250.6161971092224,0.0005,3,10,1.0,100,fl,-17.7021225626764,4.143155086825901,3.7394420992663884
948,7,2.0,10,1392.3024821281433,0.0005,3,10,1.0,50,central,-22.652316490036146,1.2277368589470534,
949,7,2.0,10,1392.3024821281433,0.0005,3,10,1.0,50,local,-16.08376680383588,6.042435127976365,5.910442490146929
950,7,2.0,10,1392.3024821281433,0.0005,3,10,1.0,50,fl,-17.918769259067986,4.0187727451137185,3.8182818849835103
956,5,1.0,10,1491.260617017746,0.0005,3,10,1.0,50,central,-18.235531708448548,1.0468321668243963,
957,5,1.0,10,1491.260617017746,0.0005,3,10,1.0,50,local,-16.03975723672948,3.0284045415124803,2.867848650795719
958,5,1.0,10,1491.260617017746,0.0005,3,10,1.0,50,fl,-16.011167452209314,2.121205081626552,1.8647338096298907
968,4,1.0,10,1282.5201601982117,0.0005,3,10,1.0,100,central,-18.45905439597621,0.8919793291684516,
969,4,1.0,10,1282.5201601982117,0.0005,3,10,1.0,100,local,-15.597845900655258,3.127828496274096,3.0086277969020583
970,4,1.0,10,1282.5201601982117,0.0005,3,10,1.0,100,fl,-16.032892296888903,2.136490750462108,1.9621206454543665
972,1,1.0,10,1423.1097688674927,0.0005,3,10,1.0,10,central,-18.315668125243135,1.0053393983320105,
973,1,1.0,10,1423.1097688674927,0.0005,3,10,1.0,10,local,-47.91849493765538,3.2627728124632553,3.1206068277345707
974,1,1.0,10,1423.1097688674927,0.0005,3,10,1.0,10,fl,-16.738530462349267,2.2429440031131045,2.0237769587296066
988,8,0.2,10,1388.3008320331573,0.0005,3,10,1.0,25,central,-15.586111390142213,0.2493621191040827,
989,8,0.2,10,1388.3008320331573,0.0005,3,10,1.0,25,local,-17.58494539128561,1.1552271515908903,1.1234258087605886
990,8,0.2,10,1388.3008320331573,0.0005,3,10,1.0,25,fl,-15.996730345568508,0.7751938053873791,0.7289321740314384
992,2,0.2,10,1327.526026725769,0.0005,3,10,1.0,50,central,-15.4932296296975,0.31032160181298474,
993,2,0.2,10,1327.526026725769,0.0005,3,10,1.0,50,local,-16.002083585391546,0.9899981687752553,0.9397664986392517
994,2,0.2,10,1327.526026725769,0.0005,3,10,1.0,50,fl,-15.578971397652818,0.6859386113894013,0.614394056105512
1000,3,0.2,10,1317.3319568634033,0.0005,3,10,1.0,100,central,-15.45770754398236,0.2917930523800601,
1001,3,0.2,10,1317.3319568634033,0.0005,3,10,1.0,100,local,-15.603881089863867,0.8443445607763644,0.7929133331854044
1002,3,0.2,10,1317.3319568634033,0.0005,3,10,1.0,100,fl,-15.436687854965282,0.5940131961478958,0.5181681481844805
1004,3,2.0,10,1222.495302438736,0.0005,3,10,1.0,10,central,-23.10896718937177,1.6722842621037621,
1005,3,2.0,10,1222.495302438736,0.0005,3,10,1.0,10,local,-52.68987482621294,6.578164185897096,6.362428123275374
1006,3,2.0,10,1222.495302438736,0.0005,3,10,1.0,10,fl,-21.23181753883006,5.149455220339775,4.882608185237531
1092,1,2.0,10,1256.2550361156464,0.0005,3,10,1.0,25,central,-22.2355788295947,2.1177879676981313,
1093,1,2.0,10,1256.2550361156464,0.0005,3,10,1.0,25,local,-17.541044888289484,5.924177013133407,5.572237503158492
1094,1,2.0,10,1256.2550361156464,0.0005,3,10,1.0,25,fl,-17.640589965669744,4.168404776467782,3.6395401263390026
1096,8,1.0,10,1321.0782475471497,0.0005,3,10,1.0,100,central,-18.686498933665426,0.8559845462459288,
1097,8,1.0,10,1321.0782475471497,0.0005,3,10,1.0,100,local,-15.689956223244119,3.281373555743658,3.153956979390823
1098,8,1.0,10,1321.0782475471497,0.0005,3,10,1.0,100,fl,-16.207461263184644,2.2168853134998048,2.0485546233144247
1104,3,1.0,10,1362.553299188614,0.0005,3,10,1.0,25,central,-18.610574047422894,0.9603009046378924,
1105,3,1.0,10,1362.553299188614,0.0005,3,10,1.0,25,local,-17.321817770704182,3.4228646500253985,3.2791171215351924
1106,3,1.0,10,1362.553299188614,0.0005,3,10,1.0,25,fl,-16.346113180375433,2.3102309094037214,2.0990450352385137
