,seed,D,runtime_sec,lr,K,n_clients,lambda,N,alpha,algorithm,Log-likelihood,err_true,err_central
396,1,10,1206.17471408844,0.0005,3,10,1,25,1.0,central,-15.409871032888706,0.37792729227842786,
397,1,10,1206.17471408844,0.0005,3,10,1,25,1.0,local,-22.49208487342815,3.4002549788694467,3.3504603905210955
398,1,10,1206.17471408844,0.0005,3,10,1,25,1.0,fl,-16.913680250796308,3.7835747378537534,3.722262675135293
408,6,10,1368.809387922287,0.0005,3,10,1,25,0.2,central,-15.265738969602376,0.35002653840245096,
409,6,10,1368.809387922287,0.0005,3,10,1,25,0.2,local,-24.46882481831551,11.03323417350098,11.02806577917131
410,6,10,1368.809387922287,0.0005,3,10,1,25,0.2,fl,-17.61764338543966,8.66788972588647,8.646606427609742
412,5,10,1222.5671834945679,0.0005,3,10,1,50,10.0,central,-15.327130215983598,0.2775600577434964,
413,5,10,1222.5671834945679,0.0005,3,10,1,50,10.0,local,-16.124573106485908,0.7849369192557292,0.7368438258639145
414,5,10,1222.5671834945679,0.0005,3,10,1,50,10.0,fl,-15.594570879007804,0.546998316335631,0.4726833899449476
428,9,10,1211.6408550739288,0.0005,3,10,1,50,1.0,central,-15.304792575124134,0.22142854244919097,
429,9,10,1211.6408550739288,0.0005,3,10,1,50,1.0,local,-17.00526718886124,2.4675046701699515,2.436544523586025
430,9,10,1211.6408550739288,0.0005,3,10,1,50,1.0,fl,-16.062155977619575,2.320672828714069,2.265280356020704
432,8,10,1428.063048839569,0.0005,3,10,1,10,0.2,central,-15.607234161871736,0.600809718289803,
433,8,10,1428.063048839569,0.0005,3,10,1,10,0.2,local,-44.38841376498852,13.419947293870013,13.45356350663071
434,8,10,1428.063048839569,0.0005,3,10,1,10,0.2,fl,-20.860714165220546,11.442899871363323,11.51847397548067
444,3,10,1382.17786860466,0.0005,3,10,1,10,10.0,central,-15.49680536888398,0.6241891906328939,
445,3,10,1382.17786860466,0.0005,3,10,1,10,10.0,local,-47.12918740955855,1.7736685774772603,1.6634427541941963
446,3,10,1382.17786860466,0.0005,3,10,1,10,10.0,fl,-18.068846192214515,1.583237487649137,1.4271139633895165
468,9,10,1502.123699426651,0.0005,3,10,1,100,1.0,central,-15.237814976007822,0.15163212207297466,
469,9,10,1502.123699426651,0.0005,3,10,1,100,1.0,local,-15.960823922073606,1.6237090802726537,1.60326858025984
470,9,10,1502.123699426651,0.0005,3,10,1,100,1.0,fl,-15.939137812620453,0.9752757673940542,0.9430245692645208
480,2,10,1306.25133395195,0.0005,3,10,1,100,0.2,central,-15.327269465206475,0.1376731108763626,
481,2,10,1306.25133395195,0.0005,3,10,1,100,0.2,local,-16.190308069068333,6.734110749441733,6.739526798532464
482,2,10,1306.25133395195,0.0005,3,10,1,100,0.2,fl,-15.294427055390074,4.7878499285216405,4.77535148903898
496,2,10,1300.8778681755066,0.0005,3,10,1,50,0.2,central,-15.330503347067907,0.22851470243501368,
497,2,10,1300.8778681755066,0.0005,3,10,1,50,0.2,local,-16.917172047037177,7.244372589751654,7.2295667158137435
498,2,10,1300.8778681755066,0.0005,3,10,1,50,0.2,fl,-15.568769910908168,5.375058075814771,5.334066938931517
500,3,10,1390.616483449936,0.0005,3,10,1,10,1.0,central,-15.682827081489345,0.6148621886928786,
501,3,10,1390.616483449936,0.0005,3,10,1,10,1.0,local,-59.3905454301238,4.2147817122895015,4.122020154646484
502,3,10,1390.616483449936,0.0005,3,10,1,10,1.0,fl,-21.377407177232968,4.268490175071827,4.1912544136931125
504,4,10,1548.540932893753,0.0005,3,10,1,10,0.2,central,-15.620662389916646,0.6508557149220812,
505,4,10,1548.540932893753,0.0005,3,10,1,10,0.2,local,-51.62929651974649,12.52054428629215,12.414488041616028
506,4,10,1548.540932893753,0.0005,3,10,1,10,0.2,fl,-23.72766665050245,11.18808797738444,11.055662041429184
508,5,10,1348.4732723236084,0.0005,3,10,1,50,1.0,central,-15.319662690532315,0.2077037817616465,
509,5,10,1348.4732723236084,0.0005,3,10,1,50,1.0,local,-17.23488251272471,2.639818378931642,2.6197286561127457
510,5,10,1348.4732723236084,0.0005,3,10,1,50,1.0,fl,-16.892819662145484,3.007720297672926,2.9714109978535097
516,9,10,1382.7417814731598,0.0005,3,10,1,50,10.0,central,-15.290060074424611,0.24543880264455956,
517,9,10,1382.7417814731598,0.0005,3,10,1,50,10.0,local,-16.09546879918235,0.7246010410170827,0.6803283454524338
518,9,10,1382.7417814731598,0.0005,3,10,1,50,10.0,fl,-15.552162059856204,0.5174085029575003,0.45172393435885577
532,6,10,1247.785144329071,0.0005,3,10,1,25,10.0,central,-15.330496390542544,0.3566502750311124,
533,6,10,1247.785144329071,0.0005,3,10,1,25,10.0,local,-17.48214970534344,1.1407971550766216,1.0831352301280552
534,6,10,1247.785144329071,0.0005,3,10,1,25,10.0,fl,-15.913732420928067,0.7861900326777131,0.6945890282750595
536,5,10,1231.6994230747223,0.0005,3,10,1,100,1.0,central,-15.282146115319923,0.1873489379282656,
537,5,10,1231.6994230747223,0.0005,3,10,1,100,1.0,local,-16.0324377082847,1.6146924981849469,1.5923275970099549
538,5,10,1231.6994230747223,0.0005,3,10,1,100,1.0,fl,-16.535548060111324,2.312126053356275,2.301598992730855
544,7,10,1357.0649569034576,0.0005,3,10,1,100,10.0,central,-15.2111009408044,0.20311352708947397,
545,7,10,1357.0649569034576,0.0005,3,10,1,100,10.0,local,-15.546078224161539,0.5018233533356604,0.45501680360453695
546,7,10,1357.0649569034576,0.0005,3,10,1,100,10.0,fl,-15.36033219878369,0.36470076396651696,0.3008797747136811
552,6,10,1400.9784920215607,0.0005,3,10,1,100,10.0,central,-15.207914382601611,0.19994488835103927,
553,6,10,1400.9784920215607,0.0005,3,10,1,100,10.0,local,-15.507788011860324,0.5305022009915314,0.4875987046755463
554,6,10,1400.9784920215607,0.0005,3,10,1,100,10.0,fl,-15.337281891179597,0.38290224285024216,0.32743376783992895
556,4,10,1327.7692346572876,0.0005,3,10,1,100,1.0,central,-15.291083753072343,0.20863345118660395,
557,4,10,1327.7692346572876,0.0005,3,10,1,100,1.0,local,-16.272761490974354,0.8793537924571089,0.8457865423732154
558,4,10,1327.7692346572876,0.0005,3,10,1,100,1.0,fl,-16.352613736344555,1.8841256520293475,1.854182946521594
560,7,10,1406.5205810070038,0.0005,3,10,1,25,10.0,central,-15.264979467880977,0.3087431829178948,
561,7,10,1406.5205810070038,0.0005,3,10,1,25,10.0,local,-17.302715792935807,1.0294218877110037,0.9749919897134429
562,7,10,1406.5205810070038,0.0005,3,10,1,25,10.0,fl,-15.78054603042778,0.7073509730111252,0.6335919844241222
572,8,10,1352.9395773410797,0.0005,3,10,1,50,10.0,central,-15.397612312882421,0.24052568615370604,
573,8,10,1352.9395773410797,0.0005,3,10,1,50,10.0,local,-16.104232582104725,0.6989644381751223,0.6489134833596933
574,8,10,1352.9395773410797,0.0005,3,10,1,50,10.0,fl,-15.651570946865515,0.4845503780957253,0.4196753072208074
580,5,10,1238.9005155563354,0.0005,3,10,1,10,0.2,central,-15.632245949841021,0.5959615844703419,
581,5,10,1238.9005155563354,0.0005,3,10,1,10,0.2,local,-67.97612163888928,12.12329333003095,12.011936509064935
582,5,10,1238.9005155563354,0.0005,3,10,1,10,0.2,fl,-20.36122930819673,9.926377314556431,9.799283699660979
584,4,10,1356.576299905777,0.0005,3,10,1,50,1.0,central,-15.293047277943199,0.2978842400273006,
585,4,10,1356.576299905777,0.0005,3,10,1,50,1.0,local,-18.6894910723803,2.7410141671399826,2.7012873677205684
586,4,10,1356.576299905777,0.0005,3,10,1,50,1.0,fl,-16.291498314065954,1.8631778257812524,1.8119769550393312
596,3,10,1386.4447796344757,0.0005,3,10,1,50,0.2,central,-15.282293493786824,0.28302676477307576,
597,3,10,1386.4447796344757,0.0005,3,10,1,50,0.2,local,-16.533619300740032,7.277104327782003,7.262433546501266
598,3,10,1386.4447796344757,0.0005,3,10,1,50,0.2,fl,-16.06770385653336,4.559963314399046,4.527083008625477
600,2,10,1188.2583618164062,0.0005,3,10,1,10,1.0,central,-15.60165740794289,0.3992581691447052,
601,2,10,1188.2583618164062,0.0005,3,10,1,10,1.0,local,-79.39332726625992,5.110598045850004,5.069937490016897
602,2,10,1188.2583618164062,0.0005,3,10,1,10,1.0,fl,-22.435377768151092,6.0365746387840336,5.993282007516282
